# valid error_taxonomy_category values: candidate_generation_miss|wrong_toc_section|exact_vs_adjacent_page|sasb_index_reference_page|evidence_spanning_pages|topical_mention_without_metric_evidence|table_extraction_or_reading_order_failure|ocr_failure|missing_value_unit_denominator_scope_period_disaggregation|full_vs_partial_boundary|ambiguous_or_conflicting_gold|model_json_or_normalization_failure|other
sample_id,lang,report_stem,topic,metric_code,gold_pages,category,candidate_recall_at10,fused_top5,vlm_top5,no_relevant_page,annotator_initials,error_taxonomy_category,is_prediction_actually_correct,correct_page_if_different_from_gold,notes
2582bba597c91b02e937,chinese,mfhc,一般資訊,FN-CB-000.B,34,vlm_degraded_top1,True,34|86|7|82|35,86|34|7|82|35,False,,,,,
1cfe98614c45356db3ac,french,rse2022_web_0,Nuclear Safety & Emergency Management,IF-EU-540a.2,9,neither_top1,True,10|23|9|11|1,10|23|9|11|1,False,,,,,
92a2efabaec1a2b2b7c5,thai,crc,Energy Management in Retail & Distribution,CG-MR-130a.1,24,neither_top1,True,18|62|64|63|17,18|62|64|63|17,True,,,,,
92d75e674bd81d0d4199,french,20230630_rapportesg2022_coveafinance_vf,Financed Emissions,FN-AC-410b.4,15,both_top1,True,15|8|7|9|17,15|6|13|14|9,False,,,,,
69ff87f09d794619c916,japanese,marubeni_corp,Workforce Diversity & Inclusion,CG-MR-330a.1,115,vlm_degraded_top1,True,115|109|78|107|104,107|115|114|116|109,False,,,,,
8bfba94a2e1501f2bf21,english,esg-2022,"Operational Safety, Emergency Preparedness & Response",EM-MD-540a.1,14,both_top1,True,14|47|51|17|28,14|47|13|51|17,False,,,,,
c93cfb0c1f8a62b8ca8b,korean,kia,Product Safety,"(1) Number of safety-related defect complaints, (2) percentage investigated",131,vlm_degraded_top1,True,131|79|138|95|59,108|95|76|79|131,False,,,,,
8b442a632f061d6dec09,chinese,gtg,Energy Affordability,IF-GU-240a.3,,empty_gold,,52|38|54|41|50,52|38|54|41|50,True,,,,,
4f4d20e530687b5c3eb8,french,totalenergies_sustainability-climate-2024-progress-report_2024_fr_pdf,Greenhouse Gas Emissions,EM-MD-110a.3,,empty_gold,,29|38|37|13|42,101|102|29|32|28,False,,,,,
f30e66f5042c74a0b385,japanese,marubeni_corp,Labour Practices,CG-MR-310a.2,116,vlm_improved_top1,True,118|116|117|107|115,116|117|118|115|114,False,,,,,
e1de00e677a541f9dc37,thai,bafs,Hazardous Materials Management,EM-RM-150a.1,60,candidate_recall_miss,False,217|222|216|221|66,217|221|216|222|66,False,,,,,
8a629981505312004cb2,chinese,gtg,Activity Metrics,IF-GU-000.B,,empty_gold,,52|33|12|39|30,52|33|12|39|30,False,,,,,
7efad3113f43687af00e,thai,tisco,Financed Emissions,FN-CB-410b.1,127,candidate_recall_miss,False,216|210|217|215|44,197|215|211|216|210,False,,,,,
fa8ff7e6d5e57e0c75a8,english,2022-baytex-esg-report-final,Reserves Valuation & Capital Expenditures,EM-EP-420a.1,54,both_top1,True,54|79|52|80|71,54|80|79|52|71,False,,,,,
d524b5cfe619d36cdea4,chinese,tsmc,產品生命週期管理,,43,both_top1,True,43|150|1|121|168,43|150|1|121|168,True,,,,,
eccac6748edc6800f408,chinese,mfhc,一般資訊,FN-CB-000.B,34,both_top1,True,34|86|82|35|83,34|86|82|35|83,False,,,,,
d97781a203ccb9b0f551,korean,bh,Employee Diversity & Inclusion,"Percentage of (1) gender and (2) diversity group representation for (a) executive management, (b) non-executive management, (c) technical employees and (d) all other employees",81|110,candidate_recall_miss,False,49|11|44|79|4,83|84|11|49|44,True,,,,,
caf169832bf6d03ccd32,chinese,esun,普惠金融與能力建構,,77,candidate_recall_miss,False,109|115|132|114|134,109|115|132|114|134,True,,,,,
36c23fa89a1817f74046,french,totalenergies_sustainability-climate-2024-progress-report_2024_fr_pdf,Biodiversity Impacts,EM-EP-160a.1,31|83,neither_top1,True,108|81|82|74|75,81|82|83|108|74,False,,,,,
3d6e7b2526b3caedd23b,korean,kia,Materials Efficiency & Recycling,"(1) Total amount of waste from manufacturing, (2) percentage recycled",52|114|131,vlm_improved_top1,True,137|87|114|52|44,114|52|53|112|87,False,,,,,
88d552b76e3d2fb5b2c4,thai,tisco,Data Security,FN-CB-230a.1,58,candidate_recall_miss,False,243|210|35|242|217,243|210|35|242|217,True,,,,,
ae9637b268357978cf24,english,06-21_gb-_lvmh_rse2022,Management of Chemicals in Products,CG-AA-250a.1,86,candidate_recall_miss,False,106|130|155|129|34,106|105|129|128|130,False,,,,,
04ee2116537986246ec2,thai,kbank,Data Security,FN-CB-230a.1,103,candidate_recall_miss,False,217|238|243|210|35,217|238|243|210|35,True,,,,,
0fe30c8f23599fe1000e,thai,cv,Community Relations,EM-CO-210b.1,23,vlm_degraded_top1,True,23|3|11|30|26,11|23|25|22|27,False,,,,,
73b7e8ef0412a66b0b9e,english,burberry_2020-21_esg,Labour Conditions in the Supply Chain,CG-AA-430b.3,19|20,neither_top1,True,30|3|4|20|19,31|21|30|3|4,False,,,,,
b8efde469e427e63d8ca,chinese,mfhc,資料安全,,40,candidate_recall_miss,False,56|66|67|72|69,56|66|67|72|69,True,,,,,
d18399b14debce6776f3,french,rapport-esg-gam,"Incorporation of Environmental, Social, and Governance Factors in Investment Management & Advisory",FN-AC-410a.1,6,both_top1,True,6|5|20|25|9,6|3|7|28|26,False,,,,,
56009d1b85f1f8efd1f7,english,cannickel-esg-report2023-print,Waste & Hazardous Materials Management,EM-MM-150a.10,31,vlm_improved_top1,True,62|31|10|17|18,31|42|33|32|18,True,,,,,
1a7b2fe8561bb46982ba,thai,kbank,Systemic Risk Management,FN-CB-550a.2,154,candidate_recall_miss,False,24|240|217|35|223,24|240|217|35|223,True,,,,,
a1a32a3f65ad9977d4a0,korean,hana_micron,Workforce Health & Safety,"Description of efforts to assess, monitor, and reduce exposure of workforce to human health hazards",35|37,neither_top1,True,9|39|77|32|3,39|37|38|36|32,False,,,,,
75d4d3d6815770d4812f,japanese,itochu_corp,Product Sourcing Packaging & Marketing,CG-MR-410a.3,66,candidate_recall_miss,False,60|162|161|61|154,60|162|161|61|154,True,,,,,
f0984c2a7d177bc8023e,japanese,itochu_corp,Energy Management in Retail & Distribution,CG-MR-130a.1,94,neither_top1,True,95|92|94|84|52,95|94|96|93|97,False,,,,,
977fb80b768ae44c1eeb,chinese,psi,廢棄物管理,,55,neither_top1,True,54|46|84|2|55,54|55|18|56|48,False,,,,,
db6e7c7b4fa5c93f2c7b,thai,kbank,Business Ethics,FN-CB-510a.2,150,candidate_recall_miss,False,238|210|236|240|217,212|235|234|241|238,True,,,,,
98c2d810ced7de1d5ab1,korean,hyundai,Materials Efficiency & Recycling,"(1) Weight of end-of-life material recovered, (2) percentage recycled",,empty_gold,,114|39|29|44|123,114|40|44|38|30,False,,,,,
248802454c38b4bfbf84,chinese,alchip,水管理,TC-SC-140a.1,32,neither_top1,True,31|32|29|30|33,31|32|33|29|30,False,,,,,
641f74f544a781bda875,english,2022-baytex-esg-report-final,Air Quality,EM-EP-120a.1,53,both_top1,True,53|47|63|87|81,53|47|25|63|87,False,,,,,
791aeca0d93957e6e5ef,chinese,esun,商業倫理,,97,candidate_recall_miss,False,138|130|137|129|119,138|130|137|129|119,True,,,,,
45a323dcf34aed39b47d,japanese,itochu_corp,Workforce Diversity & Inclusion,CG-MR-330a.1,165,candidate_recall_miss,False,110|168|115|203|186,170|166|110|109|111,False,,,,,
8bd18af8f017bea93310,french,remy_cointreau_rapport_rse_2023,Water Management,FB-AB-140a.2,4,vlm_degraded_top1,True,4|9|5|7|3,9|5|4|7|3,False,,,,,
589088d850c91597c388,chinese,gtg,Integrity of Gas Delivery Infrastructure,IF-GU-540a.1,,empty_gold,,33|54|27|52|29,52|33|27|30|29,False,,,,,
83cba0ea02f203f6a802,japanese,nissan_motor,Materials Sourcing,TR-AU-440a.1,,empty_gold,,88|58|79|57|86,88|79|86|57|60,False,,,,,
fa6a08c31abe73488c59,korean,hyundai,Product Safety,"(1) Number of safety-related defect complaints, (2) percentage investigated",72,candidate_recall_miss,False,114|44|59|73|15,114|44|59|73|15,True,,,,,
4e5170e74817b2782d0b,english,esg-report-2022-final_ada,Financial Inclusion & Capacity Building,FN-CB-240a.1,40|43|47|57|59|60,neither_top1,True,56|55|45|50|77,56|57|55|60|44,False,,,,,
3544a681245aed578f70,english,esg-report-2022-final_ada,Financial Inclusion & Capacity Building,FN-CB-240a.4,62|63,vlm_degraded_top1,True,62|60|44|63|77,60|65|61|59|58,False,,,,,
b9b938f39d50456a88c4,thai,cv,,EM-CO-150a.5,,empty_gold,,17|10|11|16|15,17|15|16|18|12,False,,,,,
13713e218c21c7cacb86,korean,samsung_electro_mechanics,Product Security,Description of approach to identifying and addressing data security risks in products,94|96,both_top1,True,94|62|70|41|42,94|95|92|63|41,False,,,,,
fb1bedef099a047090aa,english,esgreport2022,Data Security,FN-CB-230a.2,33|34|35,neither_top1,True,37|38|12|35|32,37|36|33|32|35,False,,,,,
799db87b6a456d911561,french,malakoff-humanis-rapport-esg-climat-article-29-loi-energie-climat-exercice-2022-mh-22365-2306-192,Financed Emissions,FN-IN-410c.4,25|26|30|35,neither_top1,True,51|53|19|36|37,36|35|37|19|30,False,,,,,
651d10073b6782e82d80,japanese,honda_motor,Material Efficiency & Recycling,TR-AU-440b.2,25,both_top1,True,25|28|139|23|138,25|23|24|26|29,False,,,,,
5e3fb5b305b96f0140b8,chinese,esun,商業倫理,,97,candidate_recall_miss,False,195|104|135|136|138,195|104|135|136|138,True,,,,,
a743f5d239b7b13e4248,chinese,gtg,Energy Affordability,IF-GU-240a.4,,empty_gold,,52|33|54|42|35,52|33|54|42|35,True,,,,,
