lang,cid,sid,topic,metric_description,metric_code,page,file_stem,label,answer_value,answer_unit,complete,sasb_category,sasb_unit_of_measure,sasb_key_terms,sasb_what_counts
chinese,tcfh,11,將環境、社會及治理因素納入信用分析,將環境、社會及治理 (ESG) 因素納入信用分析之作法之描述,FN-CB-410a.2,87,tcfh_087,yes,N/A,N/A,True,Discussion and Analysis,n/a,ESG|credit analysis|environmental factors|social factors|governance|creditworthiness|climate risk|Equator Principles|ESRM|carbon-related assets,"Qualitative description of how ESG factors are incorporated in credit analysis for commercial/industrial lending and project finance. Must cover: policies, responsible parties, ESG research approach, oversight, scenario analysis, credit loss estimation, significant ESG concentrations."
chinese,tcfh,19,商業倫理,吹哨者政策及程序之描述,FN-CB-510a.2,56,tcfh_056,yes,N/A,N/A,True,Discussion and Analysis,n/a,whistleblower|compliance programme|hotline|reporting violations|whistleblower incentives|internal controls|ethics,"Qualitative description of whistleblower programme including: internal compliance programmes, hotline details (independent third party?), publication of hotline number, incentives for reporting, methods for submitting tips, applicable jurisdictional regulations, violations and corrective actions."
chinese,tcfh,21,系統性風險管理,描述將強制性與自願性壓力測試之結果整合至資本適足率規劃、公司長期策略及其他商業活動之方法,FN-CB-550a.2,59,tcfh_059,yes,N/A,N/A,True,Discussion and Analysis,n/a,stress test|capital adequacy|capital planning|ESG strategy|systemic risk|long-term strategy|regulatory stress test,Qualitative discussion of how mandatory and voluntary stress test results are integrated into capital planning and long-term corporate strategy. Must also discuss how stress test results inform ESG strategy.
chinese,tcfh,1,資料安全,(1) 資料洩露數量,FN-CB-230a.1,72,tcfh_072,no,0,N/A,True,Quantitative,Number|Percentage (%),data breach|personal data breach|account holders affected|cybersecurity|information systems|unauthorised access|encryption,Three values: (1) total number of data breaches; (2) percentage that are personal data breaches (involving personal data destruction/loss/alteration/disclosure); (3) number of unique account holders affected by personal breaches. Must also describe corrective actions taken.
chinese,tcfh,2,資料安全,(2) 資料洩露屬於個人資料洩露之百分比,FN-CB-230a.1,72,tcfh_072,no,0,N/A,True,Quantitative,Number|Percentage (%),data breach|personal data breach|account holders affected|cybersecurity|information systems|unauthorised access|encryption,Three values: (1) total number of data breaches; (2) percentage that are personal data breaches (involving personal data destruction/loss/alteration/disclosure); (3) number of unique account holders affected by personal breaches. Must also describe corrective actions taken.
chinese,tcfh,3,資料安全,(3) 資料洩露受影響之帳戶持有者數量,FN-CB-230a.1,72,tcfh_072,no,0,N/A,True,Quantitative,Number|Percentage (%),data breach|personal data breach|account holders affected|cybersecurity|information systems|unauthorised access|encryption,Three values: (1) total number of data breaches; (2) percentage that are personal data breaches (involving personal data destruction/loss/alteration/disclosure); (3) number of unique account holders affected by personal breaches. Must also describe corrective actions taken.
chinese,tcfh,4,資料安全,對辨認及因應資料安全風險之作法之討論,FN-CB-230a.2,72,tcfh_072,no,N/A,N/A,True,Discussion and Analysis,n/a,data security risk|cybersecurity|vulnerability|ransomware|ISO/IEC 27000|NIST|mobile banking|cyber threats|attack vectors,"Qualitative description of approach to: identifying vulnerabilities, managing data security risks, observed cyber threat trends, breach disclosure policies, alignment with frameworks (ISO/IEC 2700, NIST, NYCRR 500, OCC), emerging threats (mobile banking, ransomware, loan stacking)."
chinese,tcfh,5,普惠金融與能力建構,符合旨在促進小型企業及社區發展計畫之貸款 (1) 數量,FN-CB-240a.1,106,tcfh_106,no,"88,644",戶,True,Quantitative,Number|Presentation currency,community development loan|small business loan|financial inclusion|low-income|moderate-income|CDFI|microfinance|community development finance,Two values: (1) total NUMBER of qualifying loans outstanding; (2) total AMOUNT outstanding in presentation currency. Scope includes community development loans (low/moderate-income) and small business loans (including farms). EXCLUDES personal expenditures and residential property loans.
chinese,tcfh,6,普惠金融與能力建構,符合旨在促進小型企業及社區發展計畫之貸款 (2) 餘額,FN-CB-240a.1,106,tcfh_106,no,"10,551.05",億元,True,Quantitative,Number|Presentation currency,community development loan|small business loan|financial inclusion|low-income|moderate-income|CDFI|microfinance|community development finance,Two values: (1) total NUMBER of qualifying loans outstanding; (2) total AMOUNT outstanding in presentation currency. Scope includes community development loans (low/moderate-income) and small business loans (including farms). EXCLUDES personal expenditures and residential property loans.
chinese,tcfh,19,商業倫理,吹哨者政策及程序之描述,FN-CB-510a.2,58,tcfh_058,no,N/A,N/A,True,Discussion and Analysis,n/a,whistleblower|compliance programme|hotline|reporting violations|whistleblower incentives|internal controls|ethics,"Qualitative description of whistleblower programme including: internal compliance programmes, hotline details (independent third party?), publication of hotline number, incentives for reporting, methods for submitting tips, applicable jurisdictional regulations, violations and corrective actions."
chinese,tcfh,21,系統性風險管理,描述將強制性與自願性壓力測試之結果整合至資本適足率規劃、公司長期策略及其他商業活動之方法,FN-CB-550a.2,62,tcfh_062,no,N/A,N/A,True,Discussion and Analysis,n/a,stress test|capital adequacy|capital planning|ESG strategy|systemic risk|long-term strategy|regulatory stress test,Qualitative discussion of how mandatory and voluntary stress test results are integrated into capital planning and long-term corporate strategy. Must also discuss how stress test results inform ESG strategy.
chinese,psi,1,溫室氣體排放,(1) 範疇 1 溫室氣體排放之全球總排放量,TC-SC-110a.1,51,psi_051,yes,5221,ton CO2e,True,Quantitative,Metric tons (t) CO2-e|Percentage (%),Scope 1 emissions|greenhouse gas|GHG|perfluorocompounds|PFC|carbon emissions|emissions-limiting regulations|global warming potential,"Two values: (1) gross global Scope 1 GHG emissions in metric tons CO2-equivalent, and percentage covered under emissions-limiting regulations (e.g. cap-and-trade, carbon tax); (2) subset of those emissions from perfluorocompounds (PFCs) used in semiconductor manufacturing. Excludes biogenic CO2."
chinese,psi,2,溫室氣體排放,(2) 來自全氟化合物之全球總排放量,TC-SC-110a.1,51,psi_051,yes,5070,ton CO2e,True,Quantitative,Metric tons (t) CO2-e|Percentage (%),Scope 1 emissions|greenhouse gas|GHG|perfluorocompounds|PFC|carbon emissions|emissions-limiting regulations|global warming potential,"Two values: (1) gross global Scope 1 GHG emissions in metric tons CO2-equivalent, and percentage covered under emissions-limiting regulations (e.g. cap-and-trade, carbon tax); (2) subset of those emissions from perfluorocompounds (PFCs) used in semiconductor manufacturing. Excludes biogenic CO2."
chinese,psi,3,溫室氣體排放,對管理範疇 1 排放之長期及短期策略或計畫、排放減量目標，以及針對該等目標之績效分析之討論,TC-SC-110a.2,51,psi_051,yes,N/A,N/A,True,Discussion and Analysis,n/a,emissions reduction|climate strategy|Scope 1 management|PFC reduction|reduction targets|net zero|abatement|climate risk,"Qualitative discussion of strategy to manage Scope 1 emissions including: reduction targets (absolute or intensity-based), timeline, methods (process optimization, abatement equipment, alternative chemistries for PFCs), and performance against stated targets."
chinese,psi,4,製造之能源管理,(1) 總能源消耗量,TC-SC-130a.1,48,psi_048,yes,"39,181,600",kwh,True,Quantitative,Gigajoules (GJ)|Percentage (%),energy consumption|grid electricity|renewable energy|electricity|energy management|energy intensity|clean energy|power purchase agreement,"Three values: (1) total energy consumed in GJ across all manufacturing operations (electricity, fuel, steam, heating/cooling); (2) percentage of total energy that is grid electricity; (3) percentage of total energy from renewable sources (wind, solar, hydro, certified RECs, PPAs). Scope: owned and operated manufacturing facilities."
chinese,psi,5,製造之能源管理,(2) 所消耗之能源中來自電網電力供應之百分比,TC-SC-130a.1,48,psi_048,yes,100,%,True,Quantitative,Gigajoules (GJ)|Percentage (%),energy consumption|grid electricity|renewable energy|electricity|energy management|energy intensity|clean energy|power purchase agreement,"Three values: (1) total energy consumed in GJ across all manufacturing operations (electricity, fuel, steam, heating/cooling); (2) percentage of total energy that is grid electricity; (3) percentage of total energy from renewable sources (wind, solar, hydro, certified RECs, PPAs). Scope: owned and operated manufacturing facilities."
chinese,psi,6,製造之能源管理,(3) 所消耗之能源中屬再生能源之百分比,TC-SC-130a.1,48,psi_048,yes,0,%,True,Quantitative,Gigajoules (GJ)|Percentage (%),energy consumption|grid electricity|renewable energy|electricity|energy management|energy intensity|clean energy|power purchase agreement,"Three values: (1) total energy consumed in GJ across all manufacturing operations (electricity, fuel, steam, heating/cooling); (2) percentage of total energy that is grid electricity; (3) percentage of total energy from renewable sources (wind, solar, hydro, certified RECs, PPAs). Scope: owned and operated manufacturing facilities."
chinese,psi,13,勞工健康與安全,對評估、監控及降低勞工暴露於人類健康危害所作之努力之描述,TC-SC-320a.1,75,psi_075,yes,N/A,N/A,True,Discussion and Analysis,n/a,occupational health|employee safety|chemical exposure|hazardous substances|OSHA|industrial hygiene|health monitoring|ergonomics|radiation,"Qualitative description of: (1) types of health hazards present (chemicals, radiation, ergonomic); (2) monitoring and assessment methods; (3) controls implemented (engineering controls, PPE, substitution); (4) health surveillance programs; (5) metrics tracked (injury rates, illness rates, days lost)."
chinese,psi,1,溫室氣體排放,(1) 範疇 1 溫室氣體排放之全球總排放量,TC-SC-110a.1,53,psi_053,no,5221,ton CO2e,True,Quantitative,Metric tons (t) CO2-e|Percentage (%),Scope 1 emissions|greenhouse gas|GHG|perfluorocompounds|PFC|carbon emissions|emissions-limiting regulations|global warming potential,"Two values: (1) gross global Scope 1 GHG emissions in metric tons CO2-equivalent, and percentage covered under emissions-limiting regulations (e.g. cap-and-trade, carbon tax); (2) subset of those emissions from perfluorocompounds (PFCs) used in semiconductor manufacturing. Excludes biogenic CO2."
chinese,psi,2,溫室氣體排放,(2) 來自全氟化合物之全球總排放量,TC-SC-110a.1,53,psi_053,no,5070,ton CO2e,True,Quantitative,Metric tons (t) CO2-e|Percentage (%),Scope 1 emissions|greenhouse gas|GHG|perfluorocompounds|PFC|carbon emissions|emissions-limiting regulations|global warming potential,"Two values: (1) gross global Scope 1 GHG emissions in metric tons CO2-equivalent, and percentage covered under emissions-limiting regulations (e.g. cap-and-trade, carbon tax); (2) subset of those emissions from perfluorocompounds (PFCs) used in semiconductor manufacturing. Excludes biogenic CO2."
chinese,psi,3,溫室氣體排放,對管理範疇 1 排放之長期及短期策略或計畫、排放減量目標，以及針對該等目標之績效分析之討論,TC-SC-110a.2,53,psi_053,no,N/A,N/A,True,Discussion and Analysis,n/a,emissions reduction|climate strategy|Scope 1 management|PFC reduction|reduction targets|net zero|abatement|climate risk,"Qualitative discussion of strategy to manage Scope 1 emissions including: reduction targets (absolute or intensity-based), timeline, methods (process optimization, abatement equipment, alternative chemistries for PFCs), and performance against stated targets."
chinese,psi,4,製造之能源管理,(1) 總能源消耗量,TC-SC-130a.1,49,psi_049,no,"39,181,600",kwh,True,Quantitative,Gigajoules (GJ)|Percentage (%),energy consumption|grid electricity|renewable energy|electricity|energy management|energy intensity|clean energy|power purchase agreement,"Three values: (1) total energy consumed in GJ across all manufacturing operations (electricity, fuel, steam, heating/cooling); (2) percentage of total energy that is grid electricity; (3) percentage of total energy from renewable sources (wind, solar, hydro, certified RECs, PPAs). Scope: owned and operated manufacturing facilities."
chinese,psi,5,製造之能源管理,(2) 所消耗之能源中來自電網電力供應之百分比,TC-SC-130a.1,49,psi_049,no,100,%,True,Quantitative,Gigajoules (GJ)|Percentage (%),energy consumption|grid electricity|renewable energy|electricity|energy management|energy intensity|clean energy|power purchase agreement,"Three values: (1) total energy consumed in GJ across all manufacturing operations (electricity, fuel, steam, heating/cooling); (2) percentage of total energy that is grid electricity; (3) percentage of total energy from renewable sources (wind, solar, hydro, certified RECs, PPAs). Scope: owned and operated manufacturing facilities."
chinese,psi,6,製造之能源管理,(3) 所消耗之能源中屬再生能源之百分比,TC-SC-130a.1,49,psi_049,no,0,%,True,Quantitative,Gigajoules (GJ)|Percentage (%),energy consumption|grid electricity|renewable energy|electricity|energy management|energy intensity|clean energy|power purchase agreement,"Three values: (1) total energy consumed in GJ across all manufacturing operations (electricity, fuel, steam, heating/cooling); (2) percentage of total energy that is grid electricity; (3) percentage of total energy from renewable sources (wind, solar, hydro, certified RECs, PPAs). Scope: owned and operated manufacturing facilities."
chinese,psi,7,水管理,(1) 所有來源之取水量（以千立方公尺為單位）,TC-SC-140a.1,53,psi_053,no,"720,615",立方公尺,True,Quantitative,Thousand cubic metres (m³)|Percentage (%),water withdrawal|water consumption|water stress|water scarcity|WRI Aqueduct|water recycling|ultrapure water|wastewater,"Two paired values: (1) total water withdrawn (from all sources: municipal, groundwater, surface water) in thousand m³ + percentage from High/Extremely High Baseline Water Stress regions per WRI Aqueduct; (2) total water consumed (withdrawn minus discharged) + same percentage breakdown. Semiconductor fabs are water-intensive."
chinese,psi,8,水管理,(2) 營運中之耗水量（以千立方公尺為單位）,TC-SC-140a.1,53,psi_053,no,"138,283",立方公尺,True,Quantitative,Thousand cubic metres (m³)|Percentage (%),water withdrawal|water consumption|water stress|water scarcity|WRI Aqueduct|water recycling|ultrapure water|wastewater,"Two paired values: (1) total water withdrawn (from all sources: municipal, groundwater, surface water) in thousand m³ + percentage from High/Extremely High Baseline Water Stress regions per WRI Aqueduct; (2) total water consumed (withdrawn minus discharged) + same percentage breakdown. Semiconductor fabs are water-intensive."
chinese,psi,20,材料取得,與關鍵材料之使用有關風險管理之描述,TC-SC-440a.1,45,psi_045,no,N/A,N/A,True,Discussion and Analysis,n/a,critical materials|rare earth|supply chain risk|conflict minerals|3TG|material sourcing|supply chain resilience|responsible sourcing|cobalt|tantalum,"Qualitative description of: (1) identification of critical and conflict materials used; (2) supply chain mapping and due diligence; (3) supplier audits and certifications (RBA, OECD); (4) mitigation strategies for supply disruptions; (5) alternatives assessment for critical materials."
chinese,esun,1,資料安全,(1) 資料洩露數量,FN-CB-230a.1,113,esun_113,yes,0,N/A,True,Quantitative,Number|Percentage (%),data breach|personal data breach|account holders affected|cybersecurity|information systems|unauthorised access|encryption,Three values: (1) total number of data breaches; (2) percentage that are personal data breaches (involving personal data destruction/loss/alteration/disclosure); (3) number of unique account holders affected by personal breaches. Must also describe corrective actions taken.
chinese,esun,2,資料安全,(2) 資料洩露屬於個人資料洩露之百分比,FN-CB-230a.1,113,esun_113,yes,0,%,True,Quantitative,Number|Percentage (%),data breach|personal data breach|account holders affected|cybersecurity|information systems|unauthorised access|encryption,Three values: (1) total number of data breaches; (2) percentage that are personal data breaches (involving personal data destruction/loss/alteration/disclosure); (3) number of unique account holders affected by personal breaches. Must also describe corrective actions taken.
chinese,esun,3,資料安全,(3) 資料洩露受影響之帳戶持有者數量,FN-CB-230a.1,113,esun_113,yes,0,N/A,True,Quantitative,Number|Percentage (%),data breach|personal data breach|account holders affected|cybersecurity|information systems|unauthorised access|encryption,Three values: (1) total number of data breaches; (2) percentage that are personal data breaches (involving personal data destruction/loss/alteration/disclosure); (3) number of unique account holders affected by personal breaches. Must also describe corrective actions taken.
chinese,esun,4,資料安全,對辨認及因應資料安全風險之作法之討論,FN-CB-230a.2,111,esun_111,yes,N/A,N/A,True,Discussion and Analysis,n/a,data security risk|cybersecurity|vulnerability|ransomware|ISO/IEC 27000|NIST|mobile banking|cyber threats|attack vectors,"Qualitative description of approach to: identifying vulnerabilities, managing data security risks, observed cyber threat trends, breach disclosure policies, alignment with frameworks (ISO/IEC 2700, NIST, NYCRR 500, OCC), emerging threats (mobile banking, ransomware, loan stacking)."
chinese,esun,4,資料安全,對辨認及因應資料安全風險之作法之討論,FN-CB-230a.2,112,esun_112,yes,N/A,N/A,True,Discussion and Analysis,n/a,data security risk|cybersecurity|vulnerability|ransomware|ISO/IEC 27000|NIST|mobile banking|cyber threats|attack vectors,"Qualitative description of approach to: identifying vulnerabilities, managing data security risks, observed cyber threat trends, breach disclosure policies, alignment with frameworks (ISO/IEC 2700, NIST, NYCRR 500, OCC), emerging threats (mobile banking, ransomware, loan stacking)."
chinese,esun,4,資料安全,對辨認及因應資料安全風險之作法之討論,FN-CB-230a.2,113,esun_113,yes,N/A,N/A,True,Discussion and Analysis,n/a,data security risk|cybersecurity|vulnerability|ransomware|ISO/IEC 27000|NIST|mobile banking|cyber threats|attack vectors,"Qualitative description of approach to: identifying vulnerabilities, managing data security risks, observed cyber threat trends, breach disclosure policies, alignment with frameworks (ISO/IEC 2700, NIST, NYCRR 500, OCC), emerging threats (mobile banking, ransomware, loan stacking)."
chinese,esun,11,將環境、社會及治理因素納入信用分析,將環境、社會及治理 (ESG) 因素納入信用分析之作法之描述,FN-CB-410a.2,59,esun_059,yes,N/A,N/A,True,Discussion and Analysis,n/a,ESG|credit analysis|environmental factors|social factors|governance|creditworthiness|climate risk|Equator Principles|ESRM|carbon-related assets,"Qualitative description of how ESG factors are incorporated in credit analysis for commercial/industrial lending and project finance. Must cover: policies, responsible parties, ESG research approach, oversight, scenario analysis, credit loss estimation, significant ESG concentrations."
chinese,esun,11,將環境、社會及治理因素納入信用分析,將環境、社會及治理 (ESG) 因素納入信用分析之作法之描述,FN-CB-410a.2,61,esun_061,yes,N/A,N/A,True,Discussion and Analysis,n/a,ESG|credit analysis|environmental factors|social factors|governance|creditworthiness|climate risk|Equator Principles|ESRM|carbon-related assets,"Qualitative description of how ESG factors are incorporated in credit analysis for commercial/industrial lending and project finance. Must cover: policies, responsible parties, ESG research approach, oversight, scenario analysis, credit loss estimation, significant ESG concentrations."
chinese,esun,11,將環境、社會及治理因素納入信用分析,將環境、社會及治理 (ESG) 因素納入信用分析之作法之描述,FN-CB-410a.2,62,esun_062,yes,N/A,N/A,True,Discussion and Analysis,n/a,ESG|credit analysis|environmental factors|social factors|governance|creditworthiness|climate risk|Equator Principles|ESRM|carbon-related assets,"Qualitative description of how ESG factors are incorporated in credit analysis for commercial/industrial lending and project finance. Must cover: policies, responsible parties, ESG research approach, oversight, scenario analysis, credit loss estimation, significant ESG concentrations."
chinese,esun,1,資料安全,(1) 資料洩露數量,FN-CB-230a.1,114,esun_114,no,0,N/A,True,Quantitative,Number|Percentage (%),data breach|personal data breach|account holders affected|cybersecurity|information systems|unauthorised access|encryption,Three values: (1) total number of data breaches; (2) percentage that are personal data breaches (involving personal data destruction/loss/alteration/disclosure); (3) number of unique account holders affected by personal breaches. Must also describe corrective actions taken.
chinese,esun,2,資料安全,(2) 資料洩露屬於個人資料洩露之百分比,FN-CB-230a.1,114,esun_114,no,0,%,True,Quantitative,Number|Percentage (%),data breach|personal data breach|account holders affected|cybersecurity|information systems|unauthorised access|encryption,Three values: (1) total number of data breaches; (2) percentage that are personal data breaches (involving personal data destruction/loss/alteration/disclosure); (3) number of unique account holders affected by personal breaches. Must also describe corrective actions taken.
chinese,esun,3,資料安全,(3) 資料洩露受影響之帳戶持有者數量,FN-CB-230a.1,114,esun_114,no,0,N/A,True,Quantitative,Number|Percentage (%),data breach|personal data breach|account holders affected|cybersecurity|information systems|unauthorised access|encryption,Three values: (1) total number of data breaches; (2) percentage that are personal data breaches (involving personal data destruction/loss/alteration/disclosure); (3) number of unique account holders affected by personal breaches. Must also describe corrective actions taken.
chinese,esun,4,資料安全,對辨認及因應資料安全風險之作法之討論,FN-CB-230a.2,114,esun_114,no,N/A,N/A,True,Discussion and Analysis,n/a,data security risk|cybersecurity|vulnerability|ransomware|ISO/IEC 27000|NIST|mobile banking|cyber threats|attack vectors,"Qualitative description of approach to: identifying vulnerabilities, managing data security risks, observed cyber threat trends, breach disclosure policies, alignment with frameworks (ISO/IEC 2700, NIST, NYCRR 500, OCC), emerging threats (mobile banking, ransomware, loan stacking)."
chinese,esun,5,普惠金融與能力建構,符合旨在促進小型企業及社區發展計畫之貸款 (1) 數量,FN-CB-240a.1,76,esun_076,no,"19,267",戶數,True,Quantitative,Number|Presentation currency,community development loan|small business loan|financial inclusion|low-income|moderate-income|CDFI|microfinance|community development finance,Two values: (1) total NUMBER of qualifying loans outstanding; (2) total AMOUNT outstanding in presentation currency. Scope includes community development loans (low/moderate-income) and small business loans (including farms). EXCLUDES personal expenditures and residential property loans.
chinese,esun,6,普惠金融與能力建構,符合旨在促進小型企業及社區發展計畫之貸款 (2) 餘額,FN-CB-240a.1,76,esun_076,no,"104,164",佰萬元,True,Quantitative,Number|Presentation currency,community development loan|small business loan|financial inclusion|low-income|moderate-income|CDFI|microfinance|community development finance,Two values: (1) total NUMBER of qualifying loans outstanding; (2) total AMOUNT outstanding in presentation currency. Scope includes community development loans (low/moderate-income) and small business loans (including farms). EXCLUDES personal expenditures and residential property loans.
chinese,esun,11,將環境、社會及治理因素納入信用分析,將環境、社會及治理 (ESG) 因素納入信用分析之作法之描述,FN-CB-410a.2,60,esun_060,no,N/A,N/A,True,Discussion and Analysis,n/a,ESG|credit analysis|environmental factors|social factors|governance|creditworthiness|climate risk|Equator Principles|ESRM|carbon-related assets,"Qualitative description of how ESG factors are incorporated in credit analysis for commercial/industrial lending and project finance. Must cover: policies, responsible parties, ESG research approach, oversight, scenario analysis, credit loss estimation, significant ESG concentrations."
chinese,pegavision,1,Affordability & Pricing,說明各項產品價格資訊如何揭露給顧客或其代理人,HC-MS-250a.1,57,pegavision_057,yes,N/A,N/A,True,Discussion and Analysis,n/a,pricing policies|affordability|patient assistance|access to medicines|price transparency|reimbursement|low-income access|humanitarian pricing,"Qualitative description of: pricing policies and governance, patient assistance programs, differential/tiered pricing strategies for low-income markets, reimbursement support, and any commitments to expand access to medical devices."
chinese,pegavision,4,Product Safety,(1) 發布產品召回的次數,HC-MS-240a.2,57,pegavision_057,yes but not complete,0,N/A,False,Quantitative,Number,product recall|recalled units|FDA recall|device recall|medical device recall|safety recall|Class I recall|Class II recall,"Two values: (1) number of distinct products (SKUs/models) subject to recall during the period; (2) total units recalled. Includes voluntary and mandatory recalls. Classify by recall class (Class I, II, III) where applicable. Scope: all markets."
chinese,pegavision,5,Product Safety,(2) 總召回產品單位數,HC-MS-240a.2,57,pegavision_057,yes but not complete,0,N/A,False,Quantitative,Number,product recall|recalled units|FDA recall|device recall|medical device recall|safety recall|Class I recall|Class II recall,"Two values: (1) number of distinct products (SKUs/models) subject to recall during the period; (2) total units recalled. Includes voluntary and mandatory recalls. Classify by recall class (Class I, II, III) where applicable. Scope: all markets."
chinese,pegavision,6,Product Safety,列入任何公開醫療產品安全或不良事件警示資料庫的產品,HC-MS-240a.3,57,pegavision_057,yes,N/A,N/A,True,Quantitative,Number,product fatalities|product injuries|adverse events|MDR|medical device reporting|safety events|corrective action|CAPA,"Count of fatalities and injuries reported to regulatory bodies (e.g. FDA MDR, EU IVDR) associated with the entity's products. Must include description of corrective actions taken (CAPA, design changes, labeling updates, user training)."
chinese,pegavision,7,Product Safety,與產品相關的死亡事件數量,HC-MS-240a.3,57,pegavision_057,yes but not complete,0,N/A,False,Quantitative,Number,product fatalities|product injuries|adverse events|MDR|medical device reporting|safety events|corrective action|CAPA,"Count of fatalities and injuries reported to regulatory bodies (e.g. FDA MDR, EU IVDR) associated with the entity's products. Must include description of corrective actions taken (CAPA, design changes, labeling updates, user training)."
chinese,pegavision,9,Ethical Marketing,因虛假行銷主張所引發之法律訴訟造成的金額損失總額,HC-MS-270a.1,57,pegavision_057,yes but not complete,0,N/A,False,Quantitative,Presentation currency,false marketing|off-label promotion|monetary losses|legal proceedings|FDA enforcement|marketing violations|promotional claims,"Total monetary losses (fines, settlements, judgements) from legal proceedings related to false, misleading, or off-label marketing and promotion of medical products. EXCLUDES legal defence costs."
